time (seconds),encoderLeft (meters),encoderRight (meters)
10.901,-0.00012294133193790913,-0.0001373386476188898
11.002,-0.0001241134450538084,-0.0001386447693221271
11.102,-0.0001252395159099251,-0.0001399012398906052
11.202,-0.0001263769227080047,-0.0001411714038113132
11.302,-0.00012756887008436024,-0.00014249279047362506
11.402,-0.00012870966747868806,-0.00014376563194673508
11.502,-0.00012987805530428886,-0.0001450635609216988
11.6,-0.000131045890157111,-0.0001463624503230676
11.702,-0.00013217581727076322,-0.00014762379578314722
11.802,-0.00013334877439774573,-0.00014892799663357437
11.902,-0.0001344892953056842,-0.00015019881539046764
12.002,-0.00013568159192800522,-0.00015152443666011095
12.102,-0.00013684951409231871,-0.00015282409731298685
12.203,-0.00013801155728287995,-0.00015412028005812317
12.303,-0.00013918655167799443,-0.00015542568871751428
12.403,-0.00014036607171874493,-0.0001567344443174079
12.502,-0.000141547730891034,-0.00015804838039912283
12.602,-0.00014267630467657,-0.00015930799418129027
12.701,-0.00014388530689757317,-0.00016064992814790457
12.801,-0.00014499320241156965,-0.00016189203597605228
12.901,-0.00014616148837376386,-0.0001631908817216754
13.002,-0.00014735135482624173,-0.00016451033297926188
13.102,-0.0001485033571952954,-0.0001657926186453551
13.2,-0.0001496600016253069,-0.00016708062321413308
13.301,-0.0001507924753241241,-0.0001683444861555472
13.403,-0.00015196239110082388,-0.0001696440449450165
13.502,-0.00015313106996472925,-0.00017094408394768834
13.602,-0.00015433391672559083,-0.0001722796296235174
13.701,-0.00015549133240710944,-0.00017357012256979942
13.803,-0.0001566768332850188,-0.00017488494631834328
13.902,-0.00015780537796672434,-0.00017614544776733965
14.002,-0.00015899317804723978,-0.0001774619158823043
14.102,-0.00016013185086194426,-0.0001787320215953514
14.204,-0.00016128258721437305,-0.00018001446733251214
14.301,-0.0001624555588932708,-0.0001813194976421073
14.403,-0.00016356722335331142,-0.00018256196926813573
14.502,-0.0001647501194383949,-0.00018387602176517248
14.600999999999999,-0.00016590407176408917,-0.0001851598353823647
14.701,-0.00016708778275642544,-0.00018647746765054762
14.802,-0.00016825749480631202,-0.00018777878722175956
14.902,-0.00016942103684414178,-0.00018907642515841872
15,-0.00017060029495041817,-0.00019038647587876767
15.102,-0.00017177109839394689,-0.00019168535072822124
15.202,-0.00017295469297096133,-0.00019300170242786407
15.298,-0.00017383413796778768,-0.00019398076983634382
15.402,-0.00017383413796778768,-0.00019398076983634382
15.502,-0.00017383413796778768,-0.00019398076983634382
15.602,-0.00017383413796778768,-0.00019398076983634382
15.702,-0.00017383413796778768,-0.00019398076983634382
15.802,-0.0001733278186293319,-0.00019381714810151607
15.901,-0.00017456893692724407,-0.0001951939339051023
16.001,-0.00017580276471562684,-0.00019655091455206275
16.102,-0.0001770336675690487,-0.0001979048684006557
16.202,-0.0001782719191396609,-0.00019926765526179224
16.302,-0.0001795073039829731,-0.00020062725525349379
